ip,nb_qm,nb_www,ratio_digits_url,phish_hints,nb_hyperlinks,domain_in_title,domain_age,google_index,page_rank
1,0,1,0.109375,0,86,1,7909,1,6
1,1,0,0.1875,0,4,1,4003,1,0
0,0,1,0.0,2,0,0,-1,1,3
0,1,0,0.111111111,0,37,0,9318,1,7
1,0,0,0.159090909,0,71,1,7160,1,3
1,1,1,0.25,0,0,1,5803,1,2
1,0,0,0.201834862,3,1,1,658,1,0
0,0,0,0.0,0,9,1,3567,1,0
0,0,0,0.206896552,0,11,1,257,0,0
0,0,1,0.0,0,26,0,-1,0,4
1,0,0,0.265957447,0,31,0,1016,1,2
0,0,0,0.0,0,22,1,2840,1,2
0,0,1,0.041666667,0,21,0,2379,0,3
0,0,1,0.0,0,135,0,6577,0,3
1,0,1,0.106995885,0,503,1,798,1,0
0,0,0,0.0,0,16,1,805,1,1
0,0,0,0.0,0,217,1,-1,0,2
0,0,1,0.037735849,0,203,1,6669,1,5
0,0,1,0.0,0,90,0,959,1,0
0,0,0,0.0,3,11,1,7378,1,2
0,0,1,0.0,0,158,0,-1,0,2
0,0,1,0.0,0,26,1,-1,0,0
1,1,1,0.172131148,0,51,1,3993,1,0
0,0,0,0.0,0,0,1,-1,0,2
0,0,1,0.0,0,41,1,7296,0,3
1,2,1,0.038265306,3,21,1,-1,1,0
0,0,1,0.0,0,51,1,2305,1,4
1,0,1,0.111111111,0,340,0,8554,0,5
0,0,0,0.0,2,1,0,8346,0,10
0,0,0,0.0,0,279,1,6466,0,3
0,0,1,0.0,0,28,0,4309,0,2
0,0,0,0.205128205,0,8,0,1338,1,6
1,0,0,0.3125,0,53,1,-1,0,0
0,0,0,0.058823529,0,339,1,3647,0,5
0,0,0,0.0,0,105,0,-1,0,2
0,0,0,0.103448276,3,22,1,5615,1,5
0,0,1,0.0,0,19,1,1080,0,1
0,0,1,0.0,0,211,1,1317,1,2
0,0,0,0.024691358,1,0,1,-1,0,3
1,0,0,0.21875,0,21,1,5627,1,5
0,0,0,0.0,0,1,1,7083,1,3
0,0,1,0.0,0,167,0,8146,0,6
0,0,0,0.06504065,0,142,1,7446,0,8
0,0,1,0.06557377,0,0,1,7189,0,5
0,0,1,0.0,0,463,1,3317,0,3
1,0,0,0.273809524,0,57,1,3289,1,2
0,0,1,0.0,0,503,1,5434,0,4
0,0,0,0.068965517,0,14,1,7295,1,5
0,0,0,0.038461538,0,7,1,-1,1,0
0,1,0,0.069306931,1,21,1,177,1,0
1,2,1,0.272727273,0,5,1,63,1,0
0,0,1,0.049019608,0,0,1,9621,0,6
0,0,0,0.142857143,0,37,0,-1,1,6
0,0,0,0.027027027,0,105,1,7298,0,5
0,0,1,0.0,0,212,0,9394,0,6
0,0,1,0.0,0,25,1,-1,1,0
1,0,0,0.298701299,0,30,1,5767,1,2
0,0,1,0.0,0,521,1,6656,0,5
0,0,0,0.0,1,31,0,-1,0,0
0,0,1,0.0,1,211,1,3282,1,5
1,0,0,0.150943396,4,4,1,-1,1,0
0,0,0,0.0,1,41,1,5230,1,7
0,0,0,0.105263158,0,1,1,439,1,0
