ip,nb_qm,nb_www,ratio_digits_url,phish_hints,nb_hyperlinks,domain_in_title,domain_age,google_index,page_rank
0,1,0,0.0,2,0,1,-1,1,0
1,0,1,0.194915254,0,75,1,1279,1,0
0,0,0,0.018518519,0,75,1,135,1,0
0,0,0,0.0,0,0,1,-1,1,0
0,0,1,0.0,0,47,0,6290,0,3
0,0,1,0.0,0,173,0,5857,1,5
0,0,0,0.0,0,14,1,5160,0,8
0,0,0,0.057971014,0,0,1,8416,1,2
0,0,0,0.0,0,239,0,7134,0,7
1,1,1,0.319444444,3,8,0,389,1,2
0,0,1,0.056603774,0,0,1,5972,1,0
0,0,1,0.0,0,197,0,6202,0,5
0,0,0,0.01754386,0,209,1,6259,0,6
0,0,0,0.0,2,5,1,1576,1,2
0,0,0,0.140703518,0,6,1,2613,1,2
0,0,1,0.076923077,0,254,0,6298,0,6
0,0,1,0.0,0,73,1,5397,0,4
0,1,1,0.0,0,8,1,-1,1,2
0,0,0,0.0,0,194,0,6342,0,5
0,0,0,0.0,0,63,1,7795,0,5
0,0,1,0.0,0,395,0,8395,1,5
1,1,1,0.177777778,3,10,0,531,1,0
1,0,1,0.363057325,1,31,1,-1,1,0
0,0,1,0.038461538,0,0,1,-1,0,1
0,0,0,0.101265823,1,80,1,3347,1,2
1,1,0,0.265432099,1,12,1,-2,1,3
0,0,0,0.06122449,1,22,1,5627,1,5
0,0,0,0.0,0,80,0,3830,1,2
0,0,1,0.035714286,3,24,1,3821,1,1
0,1,0,0.048192771,0,46,1,133,1,0
0,0,1,0.0,0,152,1,-1,0,3
0,0,0,0.057692308,0,1,1,3639,1,0
1,1,0,0.465608466,1,12,0,736,1,2
0,0,1,0.019230769,0,194,1,3862,0,3
0,0,0,0.064516129,0,14,1,7295,1,5
1,0,0,0.492957746,0,0,1,-1,1,0
0,0,0,0.0,0,56,0,774,0,2
1,0,0,0.261363636,0,64,1,3206,1,0
0,0,0,0.0,0,7,1,4103,1,1
0,0,1,0.0,0,17,1,2529,1,4
1,0,0,0.291079812,1,31,1,-1,1,2
0,0,0,0.111111111,0,66,1,7156,1,3
0,0,0,0.0,0,162,1,4182,0,3
1,1,0,0.1484375,0,51,1,3993,1,0
0,0,1,0.06779661,1,129,1,3952,0,4
0,1,0,0.01,4,19,1,4099,1,0
0,1,1,0.0,0,18,0,7717,0,4
0,0,0,0.078125,0,0,1,4025,1,3
0,0,0,0.04,0,0,1,-1,1,5
0,0,0,0.121212121,0,24,1,3598,1,3
0,0,1,0.0,0,25,1,1041,0,2
0,0,0,0.0,0,8,1,1523,1,1
1,0,0,0.448275862,0,0,1,-1,1,0
0,0,1,0.0,0,1219,0,5763,0,3
0,0,1,0.0,0,24,1,4594,0,2
0,0,1,0.0,0,6,1,3123,1,3
0,0,0,0.038461538,0,8,0,2139,1,7
0,0,0,0.211538462,0,0,1,2345,1,0
0,0,0,0.0,0,17,1,-1,1,0
0,0,0,0.011764706,0,51,0,3108,0,3
0,0,0,0.0,0,206,1,-1,0,2
0,0,1,0.0,3,32,1,759,1,0
0,1,0,0.0,0,0,1,342,1,0
0,0,0,0.092592593,0,22,0,5634,1,5
0,0,0,0.0,1,103,1,7050,1,0
0,0,1,0.0,0,45,1,7030,0,2
0,0,0,0.064516129,0,4,1,0,1,0
0,0,0,0.0,0,495,0,7133,0,7
0,0,1,0.0,0,53,1,8520,0,10
0,0,1,0.0,0,209,1,6374,0,4
0,0,1,0.0,0,6,1,3123,1,3
1,1,0,0.078740157,0,51,1,3992,1,0
1,1,1,0.093023256,0,51,1,3992,1,0
0,0,0,0.0,1,147,1,958,1,0
0,0,1,0.0,0,161,0,8757,0,5
0,0,1,0.074074074,0,156,1,9268,0,6
0,2,0,0.162601626,0,21,1,6316,0,6
0,0,1,0.0,0,224,1,4911,0,4
0,0,0,0.0,0,0,1,295,1,0
1,1,1,0.193548387,0,51,1,3993,1,0
0,1,1,0.0,0,289,1,6859,0,6
0,0,1,0.0,0,50,0,8618,0,6
1,3,0,0.090277778,0,27,1,1533,1,2
0,0,0,0.0,0,111,1,7449,0,8
1,1,0,0.174242423999999,0,15,1,5670,1,6
0,0,1,0.0,0,60,1,7191,0,2
0,0,1,0.071428571,0,39,1,5640,1,10
0,0,0,0.0,0,40,0,931,0,0
0,0,0,0.0,0,1,1,316,1,0
1,0,1,0.302325581,0,81,1,152,1,0
0,0,1,0.0,0,45,1,-1,0,3
0,0,0,0.033333333,0,14,1,7295,1,5
0,0,0,0.0,1,3,1,1046,1,0
0,1,0,0.059405941,0,50,1,255,1,0
0,0,1,0.0,0,65,1,4843,0,5
1,0,1,0.242105263,0,0,1,5632,1,4
0,0,1,0.0,1,5,1,630,1,0
0,0,1,0.0,0,216,0,5509,0,7
0,0,1,0.029411765,0,290,1,2882,0,4
0,0,1,0.0,0,293,1,5887,0,4
0,0,0,0.108108108,1,35,1,967,1,0
0,0,1,0.0,1,37,0,-1,1,1
1,0,0,0.160714285999999,0,0,1,5626,1,5
0,0,0,0.0,0,8,0,1337,1,6
0,0,1,0.0,0,17,1,8414,0,3
0,0,0,0.11627907,0,18,1,5614,1,5
0,0,0,0.206896552,1,13,0,6170,1,3
0,0,0,0.085106383,0,0,1,2521,1,7
0,0,0,0.0,0,45,1,7187,0,5
0,0,1,0.0,0,0,1,2307,1,0
0,1,0,0.043478261,0,13,1,567,1,0
1,1,0,0.159663866,0,4,1,4003,1,0
1,1,0,0.365482234,2,22,1,1478,1,1
0,0,1,0.0,0,168,0,8147,0,6
0,0,0,0.0,0,23,1,3570,1,3
1,1,0,0.194915254,0,4,1,4003,1,0
0,0,0,0.0,1,41,1,5230,1,7
0,0,1,0.0,0,53,1,8519,0,10
1,0,0,0.174603175,0,4,1,-1,0,0
0,0,1,0.0,0,67,0,1925,0,5
0,0,1,0.260869565,0,129,1,5821,0,2
0,0,1,0.0,0,20,1,3103,0,4
1,1,0,0.398268398,5,15,1,-1,1,0
0,0,1,0.0,0,229,1,-1,0,5
0,0,0,0.0,1,21,1,5626,1,5
